frame,x,y
33,765.698,413.133
33,733.185,415.166
33,685.944,412.812
33,656.973,460.481
33,636.703,389.136
34,636.852,453.301
34,636.395,462.752
34,582.82,475.691
34,575.436,488.371
34,560.712,456.442
34,568.523,466.573
34,542.55,463.299
34,551.267,478.453
35,562.298,482.491
35,560.857,482.237
35,575.373,475.801
35,556.125,460.865
35,556.675,465.661
35,559.894,468.719
35,568.357,480.421
35,576.91,468.122
36,576.632,465.841
36,577.046,461.62
36,580.669,457.755
36,575.537,463.668
36,565.867,475.884
36,563.289,473.009
36,575.166,440.424
36,579.801,437.648
36,581.009,437.343
37,576.778,414.515
37,578.538,418.882
37,580.601,415.027
37,580.773,417.406
37,580.139,418.594
37,575.98,450.319
37,578.091,444.015
37,579.571,436.511
38,576.757,435.394
38,577.586,438.439
38,580.426,433.828
38,580.155,437.867
38,582.3,439.359
38,581.648,442.692
38,585.875,412.749
38,584.656,417.623
39,589.004,419.115
39,591.949,424.115
39,593.209,427.518
39,597.476,420.801
39,593.652,428.624
39,593.754,430.956
39,586.062,425.338
39,589.237,415.863
39,589.635,411.63
40,588.144,383.6
40,589.74,391.672
40,585.8,392.05
40,578.348,408.749
40,580.51,405.356
40,582.41,405.575
40,586.195,404.616
40,590.073,404.583
41,591.716,400.48
41,590.12,400.72
41,589.776,392.053
41,583.449,400.435
41,596.434,399.768
41,596.697,392.85
41,595.273,398.857
41,600.175,406.838
42,600.997,394.498
42,601.458,392.259
42,601.494,385.953
42,596.196,388.959
42,601.597,388.66
42,603.424,393.082
42,603.056,393.504
42,607.58,387.984
42,606.217,391.222
43,605.598,393.733
43,604.12,391.771
43,603.585,391.196
43,600.655,387.666
43,597.027,392.739
43,597.701,391.832
43,598.453,390.407
43,591.181,394.425
44,596.017,395.306
44,596.345,407.903
44,580.933,438.406
44,591.25,434.596
44,600.819,470.283
44,622.742,433.432
44,513.773,407.707
44,596.171,392.997
45,444.24,490.141
45,405.146,546.048
45,376.908,512.22
45,438.324,583.493
45,468.991,539.729
45,466.724,486.248
45,429.758,402.571
45,563.653,387.72
46,577.726,404.347
46,613.023,368.214
46,608.593,398.347
46,609.809,390.421
46,595.732,379.506
46,599.846,383.116
46,598.667,381.5
46,598.327,381.326
46,599.761,398.037
47,601.163,389.735
47,600.062,385.884
47,601.077,385.773
47,611.827,379.162
47,608.844,372.809
47,607.303,374.932
47,606.769,389.602
47,611.957,358.057
48,613.47,356.854
48,619.103,346.44
48,620.908,350.503
48,618.033,352.439
48,621.456,350.714
48,613.087,348.292
48,616.034,343.244
48,611.083,354.008
49,616.693,350.814
49,618.137,349.886
49,618.739,350.823
49,620.085,349.035
49,629.354,336.747
49,628.86,336.23
49,630.642,334.522
49,630.957,336.03
49,633.146,327.537
50,634.27,327.736
50,636.185,340.383
50,645.083,332.699
50,645.63,326.881
50,652.879,328.247
50,645.093,350.084
50,646.726,350.265
50,634.423,385.623
51,636.719,373.752
51,626.988,392.072
51,644.326,409.724
51,552.817,417.438
51,610.097,452.668
51,653.262,502.561
51,628.729,496.796
51,530.653,559.609
52,688.599,464.152
52,600.93,565.361
52,649.983,574.514
52,841.572,539.479
52,749.087,499.836
52,795.954,523.872
52,658.847,513.977
52,664.003,548.717
52,640.008,547.047
53,848.453,516.416
53,551.438,531.887
53,611.883,529.03
53,656.726,468.223
53,728.491,353.009
53,720.527,358.45
53,726.738,363.171
53,736.219,356.678
54,717.822,375.914
54,721.895,389.238
54,718.052,393.108
54,720.589,369.48
54,734.184,365.996
54,730.741,366.873
54,726.163,387.396
54,720.831,373.333
55,729.871,382.938
55,735.115,381.985
55,731.756,374.127
55,729.477,372.69
55,745.458,355.538
55,745.801,369.321
55,749.549,360.094
55,737.764,362.082
55,736.339,363.584
56,736.514,359.972
56,735.844,363.599
56,738.774,370.863
56,730.308,348.319
56,734.319,359.78
56,735.718,358.627
56,736.942,359.772
56,738.35,360.264
57,737.538,359.854
57,738.774,360.665
57,741.046,359.927
57,742.27,358.428
57,742.423,359.561
57,746.425,355.881
57,745.496,360.937
57,735.708,344.895
58,752.097,353.99
58,737.33,347.407
58,738.673,351.967
58,738.324,350.319
58,736.746,351.995
58,742.444,349.963
58,745.988,351.369
58,746.858,351.861
58,742.847,343.215
59,744.123,342.998
59,744.43,342.641
59,744.109,345.941
59,742.889,345.679
59,740.481,332.069
59,745.204,336.223
59,745.571,334.435
59,746.1,334.691
60,748.723,334.913
60,749.732,329.883
60,749.186,317.539
60,750.861,318.992
60,753.984,323.456
60,766.33,320.695
60,758.109,319.523
60,762.173,315.952
61,761.798,316.056
61,754.599,317.58
61,754.339,317.764
61,755.404,313.545
61,754.844,315.944
61,757.033,312.642
61,757.105,314.607
61,757.29,313.848
61,754.512,307.174
62,753.577,310.832
62,752.038,311.917
62,747.727,300.268
62,749.87,303.663
62,750.994,302.757
62,753.631,306.259
62,757.279,310.265
62,749.16,298.303
63,750.157,298.851
63,758.825,301.357
63,760.959,302.455
63,752.075,303.527
63,748.81,300.92
63,747.845,301.266
63,747.961,298.094
63,745.907,299.638
64,748.43,300.739
64,745.781,301.103
64,745.217,302.51
64,745.396,303.711
64,732.051,306.49
64,736.12,293.438
64,738.87,295.399
64,737.659,296.482
64,740.801,302.005
65,737.062,296.489
65,734.822,299.924
65,734.222,303.869
65,726.31,301.102
65,715.096,301.131
65,713.822,312.109
65,711.608,313.381
65,709.929,314.139
66,704.77,316.827
66,707.32,314.069
66,710.312,313.92
66,706.712,312.275
66,711.742,298.855
66,711.146,296.938
66,709.188,303.496
66,706.247,309.764
67,705.713,309.567
67,708.206,309.273
67,710.518,303.056
67,710.126,305.999
67,710.129,309.064
67,706.466,310.051
67,708.653,307.231
67,708.765,302.278
67,709.353,303.853
68,712.043,307.585
68,710.651,309.052
68,711.66,307.153
68,710.781,303.73
68,711.592,304.493
68,711.736,304.097
68,712.18,303.942
68,713.968,304.538
69,714.431,306.123
69,714.151,308.205
69,715.225,308.141
69,713.908,309.238
69,709.88,307.492
69,715.19,306.862
69,714.632,306.324
69,712.903,306.626
70,707.208,315.046
70,706.165,315.393
70,706.055,314.135
70,707.766,314.197
70,707.511,313.346
70,706.487,314.422
70,711.425,312.389
70,699.083,321.688
70,701.029,318.345
71,703.36,314.759
71,698.6,304.479
71,700.332,307.549
71,695.256,317.016
71,697.09,318.774
71,700.324,322.134
71,700.92,321.876
71,700.412,320.812
72,709.8,333.123
72,709.485,348.646
72,708.441,314.446
72,709.705,324.106
72,710.581,326.646
72,693.14,353.827
72,681.106,408.006
72,623.197,365.184
73,570.991,499.013
73,665.254,475.317
73,531.485,476.847
73,549.748,473.17
73,597.468,458.372
73,547.35,503.792
73,587.182,515.469
73,519.71,459.307
73,584.284,410.381
74,680.037,394.605
74,664.299,423.844
74,776.518,337.107
74,777.03,350.451
74,758.347,337.181
74,757.401,356.114
74,741.215,322.679
74,748.234,342.798
75,746.315,347.08
75,745.955,347.691
75,741.792,343.868
75,742.642,340.069
75,742.877,338.275
75,746.101,372.713
75,744.147,343.21
75,746.156,339.093
76,746.699,337.56
76,747.526,345.189
76,742.5,343.481
76,741.196,343.96
76,741.617,345.477
76,742.875,344.341
76,743.687,344.893
76,745.28,345.464
76,745.532,343.386
77,750.251,343.246
77,751.601,345.535
77,754.078,342.928
77,755.012,340.423
77,767.098,354.616
77,765.028,351.374
77,766.659,354.223
77,766.771,350.93
78,766.025,358.763
78,770.909,352.331
78,761.514,342.013
78,766.093,349.202
78,768.041,344.247
78,780.227,360.323
78,776.725,358.399
78,772.989,351.068
79,770.509,352.026
79,771.613,351.658
79,772.757,356.633
79,771.623,353.419
79,771.771,350.002
79,774.385,346.789
79,774.457,346.351
79,774.28,344.719
79,774.203,342.481
80,781.806,346.258
80,779.866,347.697
80,770.377,338.905
80,770.27,340.976
80,774.327,348.719
80,776.812,358.33
80,775.571,354.282
80,777.11,354.007
81,767.87,348.505
81,769.665,347.755
81,768.89,350.112
81,782.602,349.39
81,783.127,347.372
81,786.143,338.724
81,782.449,344.132
81,765.336,372.37
82,716.39,447.644
82,725.532,451.843
82,763.983,481.359
82,712.738,473.864
82,664.309,487.506
82,647.607,508.646
82,690.249,368.347
82,717.919,481.969
82,759.507,456.653
83,671.864,488.6
83,569.993,504.444
83,654.086,454.091
83,727.079,387.963
83,790.66,364.719
83,795.957,327.387
83,785.375,347.724
83,803.901,334.831
84,785.749,328.836
84,791.33,333.406
84,790.822,334.756
84,787.94,333.896
84,784.611,334.617
84,779.407,319.11
84,778.878,320.743
84,775.435,331.339
85,778.56,332.44
85,776.878,334.018
85,780.065,352.321
85,778.547,350.933
85,776.996,344.516
85,780.774,330.019
85,776.402,328.659
85,774.128,334.553
86,773.009,336.391
86,770.57,333.586
86,767.628,333.011
86,770.783,339.717
86,765.53,336.031
86,767.935,341.261
86,767.998,339.699
86,763.045,344.719
86,762.824,340.423
87,765.904,345.624
87,764.977,341.995
87,765.446,341.889
87,765.641,342.913
87,765.402,342.39
87,761.371,339.03
87,759.429,341.985
87,768.698,346.771
88,751.619,317.55
88,766.38,326.642
88,767.345,331.777
88,766.052,334.344
88,770.58,329.055
88,770.403,328.659
88,770.967,328.733
88,771.18,327.22
89,770.838,323.968
89,770.066,323.154
89,765.386,328.746
89,771.875,320.49
89,769.107,322.594
89,769.199,318.281
89,765.609,316.533
89,763.317,319.642
89,763.223,306.294
90,767.86,308.675
90,764.95,318.008
90,766.599,315.449
90,771.207,290.08
90,767.535,311.833
90,764.775,310.968
90,760.912,305.628
90,760.208,309.111
91,763.435,311.099
91,765.682,311.262
91,769.64,305.948
91,770.103,305.677
91,769.573,304.832
91,767.683,304.929
91,767.755,308.233
91,771.363,306.359
92,771.33,308.852
92,763.27,312.806
92,766.983,305.155
92,761.716,301.443
92,765.678,306.584
92,762.797,305.568
92,763.77,308.832
92,764.587,308.012
92,761.143,304.218
93,765.31,308.445
93,763.783,308.662
93,760.339,318.246
93,762.385,315.755
93,763.816,315.617
93,763.441,316.965
93,763.403,312.854
93,765.704,310.92
94,768.275,315.583
94,770.243,315.338
94,767.228,313.159
94,765.965,318.025
94,767.534,317.282
94,763.374,317.187
94,765.176,312.607
94,763.892,317.451
95,763.817,315.708
95,763.987,314.806
95,760.804,318.069
95,761.096,318.42
95,762.195,313.904
95,762.815,312.481
95,764.619,318.018
95,765.654,314.98
95,763.685,318.128
96,763.803,317.186
96,762.156,315.869
96,769.112,323.938
96,769.259,322.163
96,769.221,320.754
96,770.592,311.509
96,767.752,301.037
96,768.638,304.202
97,768.799,305.54
97,768.135,296.123
97,768.62,299.065
97,769.695,299.786
97,769.754,300.243
97,771.068,299.634
97,768.72,302.477
97,769.063,303.36
98,771.214,301.716
98,772.15,302.848
98,777.823,308.483
98,775.555,305.156
98,777.782,288.61
98,780.051,308.795
98,780.759,306.767
98,777.77,307.06
98,779.027,305.759
99,779.254,305.947
99,780.765,306.643
99,781.711,305.137
99,781.818,303.01
99,781.454,302.215
99,784.274,304.2
99,783.366,302.475
99,782.72,302.476
100,788.762,303.928
100,786.845,306.97
100,784.852,305.285
100,782.642,306.347
100,783.114,306.958
100,782.868,304.731
100,782.959,309.779
100,782.536,313.04
101,776.977,306.553
101,779.622,312.939
101,780.322,309.646
101,781.261,310.0
101,780.534,308.657
101,778.549,315.055
101,785.413,317.938
101,786.592,315.436
101,784.365,317.728
102,785.216,315.674
102,784.726,314.906
102,784.914,317.972
102,783.441,317.627
102,783.744,319.28
102,783.029,318.829
102,782.624,317.396
102,782.94,317.622
103,782.843,323.747
103,784.096,322.271
103,786.068,323.347
103,787.08,322.783
103,788.06,325.831
103,788.425,320.988
103,787.276,319.733
103,789.772,316.279
104,789.229,317.708
104,788.972,316.717
104,793.987,319.166
104,792.331,317.674
104,792.304,315.867
104,797.617,320.009
104,800.583,318.971
104,800.548,319.952
104,800.444,309.932
105,801.102,311.795
105,797.325,316.083
105,795.311,314.636
105,794.518,309.973
105,794.789,308.652
105,794.68,308.593
105,795.57,310.251
105,795.315,312.52
106,794.94,313.007
106,789.81,316.728
106,791.685,306.01
106,791.206,307.313
106,795.717,302.914
106,793.612,299.641
106,790.979,299.449
106,791.268,304.795
107,795.078,314.292
107,791.981,316.484
107,791.933,303.388
107,790.841,303.188
107,789.156,305.58
107,789.374,309.796
107,790.881,305.839
107,789.15,306.88
107,787.483,305.514
108,786.752,305.204
108,792.941,295.709
108,786.649,308.388
108,786.564,305.723
108,788.572,303.708
108,786.668,300.508
108,788.396,302.989
108,786.179,305.74
109,783.125,298.95
109,780.64,298.952
109,783.447,300.135
109,778.964,304.705
109,780.279,303.714
109,781.963,302.889
109,782.173,303.302
109,781.837,302.499
110,782.581,301.72
110,780.463,301.652
110,782.968,301.834
110,775.645,306.714
110,776.507,305.704
110,777.836,302.713
110,780.789,301.843
110,776.855,305.065
110,782.379,299.017
111,781.247,299.048
111,780.266,298.224
111,784.632,298.58
111,784.412,300.259
111,781.61,298.854
111,780.884,301.871
111,781.272,301.226
111,776.3,306.561
112,776.747,306.446
112,776.429,308.317
112,776.083,307.057
112,776.566,309.057
112,773.014,319.104
112,769.671,318.197
112,767.414,316.907
112,763.928,316.917
113,761.483,311.168
113,760.004,309.183
113,759.7,302.007
113,759.479,293.148
113,752.711,299.544
113,749.384,305.055
113,752.989,282.538
113,749.139,291.651
113,746.42,290.585
114,746.752,295.307
114,742.112,296.113
114,737.627,293.22
114,735.58,293.136
114,730.862,289.291
114,731.976,293.8
114,728.205,296.876
114,724.7,313.966
115,725.265,318.216
115,728.025,310.592
115,726.541,308.342
115,726.162,305.459
115,726.836,302.467
115,723.413,302.618
115,725.276,302.116
115,725.31,272.083
116,725.502,282.118
116,723.474,280.894
116,721.474,289.181
116,722.25,288.413
116,727.24,285.955
116,732.901,287.334
116,733.301,285.4
116,728.93,288.385
116,725.971,293.169
117,728.866,282.754
117,732.226,277.964
117,730.966,282.344
117,730.228,285.48
117,737.01,270.893
117,738.226,277.875
117,729.382,276.181
117,734.695,276.751
118,738.101,277.948
118,733.05,274.128
118,737.444,274.798
118,732.993,272.398
118,733.521,274.161
118,735.256,273.814
118,738.057,270.181
118,737.93,272.861
119,738.232,282.55
119,738.997,281.992
119,739.998,271.896
119,736.556,270.61
119,735.582,271.704
119,734.824,272.064
119,734.613,268.335
119,735.839,267.467
119,733.649,270.189
120,740.348,276.151
120,744.176,267.557
120,743.738,268.547
120,743.952,274.551
120,742.715,274.617
120,742.634,273.318
120,743.311,272.42
120,737.444,273.479
121,745.814,269.137
121,745.617,268.762
121,738.454,278.02
121,738.714,277.449
121,741.127,276.252
121,737.029,278.01
121,738.868,276.487
121,734.438,276.381
122,735.171,279.185
122,736.233,281.09
122,736.524,273.358
122,737.457,276.398
122,734.125,297.686
122,733.881,295.447
122,729.488,272.596
122,728.039,276.341
122,733.811,275.441
123,725.999,271.702
123,722.466,293.107
123,718.582,289.841
123,722.768,286.898
123,719.365,280.757
123,720.965,278.771
123,718.809,277.901
123,712.324,276.246
124,717.786,273.802
124,717.511,272.254
124,712.731,275.229
124,709.835,278.505
124,706.257,270.885
124,707.741,269.466
124,706.71,266.654
124,700.091,269.224
125,698.208,265.338
125,699.942,270.424
125,699.608,271.469
125,697.936,267.378
125,696.639,265.813
125,705.115,268.96
125,700.058,281.684
125,699.418,281.78
125,689.066,281.48
126,689.782,279.345
126,692.998,277.269
126,691.255,299.61
126,688.299,296.679
126,692.933,292.779
126,695.892,293.961
126,694.529,293.874
126,695.717,293.31
127,697.422,292.749
127,696.871,290.126
127,708.347,311.911
127,703.181,292.177
127,702.223,296.376
127,701.252,297.302
127,700.274,297.578
127,703.084,297.477
128,700.329,306.355
128,699.709,302.185
128,699.543,303.286
128,701.896,296.838
128,698.252,293.928
128,697.318,296.946
128,697.122,302.619
128,701.399,301.166
128,699.014,291.871
129,701.021,292.18
129,703.987,289.294
129,706.052,289.546
129,706.429,293.379
129,706.808,293.737
129,712.858,299.009
129,722.05,318.014
129,720.693,312.016
130,720.994,311.084
130,723.395,304.411
130,725.395,308.89
130,703.911,307.201
130,684.16,320.928
130,661.317,332.019
130,649.023,341.837
130,627.336,349.732
131,613.59,380.909
131,595.344,380.974
131,586.241,376.159
131,591.185,382.891
131,593.027,381.097
131,595.406,383.019
131,599.259,383.025
131,599.698,384.542
132,604.64,389.43
132,606.174,384.64
132,609.629,386.346
132,605.669,374.767
132,605.761,378.795
132,606.416,378.151
132,612.853,370.172
132,611.454,363.706
132,606.813,372.411
133,597.756,365.847
133,603.524,368.809
133,602.723,385.579
133,604.941,373.071
133,604.176,366.563
133,611.336,362.515
133,606.126,353.599
133,605.304,358.798
134,603.695,361.915
134,602.059,370.949
134,592.445,368.943
134,586.675,378.998
134,590.706,346.237
134,604.644,370.918
